Unnamed: 0,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
60450,20210104,AAPL,4.621785714285714,4.768571428571429,4.7717857142857145,4.5271428571428585,143301900,0.10687327994451046,61.078660436136815,57.58682632840056,0.061142857142857124,81.55271105513454
60451,20210104,AMGN,226.66,231.25,231.25,223.67,3088200,-0.5354892455980576,49.09806493932437,24.59712907043575,2.0326666666666644,81.55271105513454
60452,20210104,AMZN,159.33,163.5,163.6,157.2,88228000,1.1393390339653706,54.68605724838412,23.09609701202096,1.4440000000000015,81.55271105513454
60453,20210104,AXP,118.04,121.3,121.8,116.85,3472100,0.927623905562001,54.51735615786973,-2.5948555793548325,1.4019999999999997,81.55271105513454
60454,20210104,BA,202.72,210.0,210.2,202.49,21225600,1.2931016646685691,49.750944692545474,-42.04772080080139,3.8813333333333366,81.55271105513454
60455,20210104,CAT,182.15,183.0,185.98,180.25,4078300,2.05670164333867,59.303935139410704,56.51148732574618,1.6856666666666655,81.55271105513454
60456,20210104,CRM,55.0775,55.66,55.9375,53.93,10319900,-1.1595692186710025,32.099485086952264,-56.63489325623596,0.8577499999999993,81.55271105513454
60457,20210104,CSCO,43.96,44.31,44.37,43.35,24392500,0.6384861778369952,64.50549450549451,0.3304864159154681,0.3033333333333331,81.55271105513454
60458,20210104,CVX,84.71,85.15,85.95,83.89,9234900,-0.32895513700042045,50.461472418974026,-35.03592575344294,1.5530000000000015,81.55271105513454
60459,20210104,DIS,177.68,182.26,182.59,174.73,13426600,8.480467709195892,70.95013644257007,58.55824871855735,2.687333333333333,81.55271105513454
60460,20210104,GS,265.0,267.0,267.58,260.16,3572000,9.368078553529784,70.56802102284212,71.16041274744867,3.297999999999995,81.55271105513454
60461,20210104,HD,263.92,266.01,266.44,261.06,5002000,-1.598873541972921,44.516607904991695,-73.82730525404497,1.796333333333341,81.55271105513454
60462,20210104,HON,186.85111210685375,191.24615076603334,191.39869006873798,185.4305898504161,2470963,2.1446796118154623,55.89311859443631,-1.5854284212897114,1.736405729121972,81.55271105513454
60463,20210104,IBM,118.49,120.32,120.38,117.63,5417443,0.7648828767779463,60.07638072855463,4.6987295506911675,1.1346666666666665,81.55271105513454
60464,20210104,JNJ,156.5,157.24,157.38,154.13,11765900,2.1865512096334783,62.24845720418568,101.95204499952335,1.2423333333333326,81.55271105513454
60465,20210104,JPM,125.87,127.5,127.86,124.78,16819900,2.7469407201025438,61.932584269662925,43.294795983820286,1.4833333333333356,81.55271105513454
60466,20210104,KO,52.76,54.27,54.63,52.03,25611100,0.4136112768634419,50.51759834368529,-1.2404072897787166,0.483,81.55271105513454
60467,20210104,MCD,210.22,214.49,214.72,208.22,4055400,-0.6522403981719265,44.385593220338976,-48.592185956948995,1.5733333333333386,81.55271105513454
60468,20210104,MMM,143.7,146.32,147.32,142.6,3583455,0.5425242364240148,50.636215334420854,-20.80015973244033,1.0216666666666625,81.55271105513454
60469,20210104,MRK,77.25,78.24,78.33,76.22,10502637,0.02598241731125484,52.42857142857145,3.327290310749245,0.4666666666666667,81.55271105513454
60470,20210104,MSFT,217.69,222.53,223.0,214.81,37130100,2.059959472035132,56.32293858810025,37.31074002429922,1.742333333333328,81.55271105513454
60471,20210104,NKE,70.05,71.425,71.485,69.16,6178500,1.0733035440113952,62.17303822937629,26.819067819240843,0.5798333333333332,81.55271105513454
